"","Ysi","Median","Lower25","Upper75"
"47",48,75.3042204525884,62.1956095070842,89.6139852932276
"48",49,75.8375477997786,62.7873250681644,90.0344484405843
"49",50,76.3601001166348,63.3670859579656,90.4464167991569
"50",51,76.8723041797252,63.9353656761833,90.8502268298828
"51",52,77.3745619016267,64.4926101364338,91.2461953914941
"52",53,77.8672522256227,65.0392397683812,91.6346212342545
"53",54,78.3507328432929,65.5756514233681,92.0157863540679
"54",55,78.825341754499,66.102220105187,92.3899572223358
"55",56,79.2913986868066,66.6193005448993,92.7573859049972
"56",57,79.7492063892745,67.1272286362672,93.1183110825227
"57",58,80.1990518137228,67.6263227463464,93.4729589811987
"58",59,80.6412071950217,68.1168849140436,93.8215442248039
"59",60,81.0759310405869,68.5992019479418,94.1642706147037
"60",61,81.5034690380874,69.0735464333819,94.5013318454669
"61",62,81.9240548893446,69.5401776576575,94.8329121622927
"62",63,82.3379110775111,69.9993424611831,95.1591869658375
"63",64,82.7452495738345,70.4512760216341,95.4803233694102
"64",65,83.1462724896253,70.8962025772913,95.7964807129701
"65",66,83.5411726784511,71.3343360951632,96.1078110378825
"66",67,83.9301342930474,71.7658808888665,96.4144595259747
"67",68,84.3133333009713,72.1910321907332,96.7165649060653
"68",69,84.6909379626112,72.6099766821527,97.0142598308167
"69",70,85.0631092748051,73.0228929857568,97.3076712264732
"70",71,85.4300013829919,73.4299521226929,97.5969206177922
"71",72,85.7917619645391,73.831317937918,97.8821244302504
"72",73,86.1485325856303,74.2271474961586,98.1633942714065
"73",74,86.5004490338739,74.6175914509321,98.4408371931217
"74",75,86.8476416285855,75.0027943887993,98.7145559361797
"75",76,87.1902355105207,75.3828951508171,98.9846491587052
"76",77,87.5283509126693,75.7580271329782,99.2512116496521
"77",78,87.8621034135774,76.1283185672675,99.5143345285169
"78",79,88.191604174533,76.493892784814,99.7741054323299
"79",80,88.516960161833,76.8548684624916,100.030608690886
"80",81,88.8382743552436,77.2113598542018,100.283925491091
"81",82,89.1556459436709,77.5634770079659,100.53413403122
"82",83,89.4691705089718,77.9113259698592,100.781309665837
"83",84,89.7789401987572,78.2550089757329,101.02552504202
"84",85,90.0850438889698,78.5946246315907,101.266850227541
"85",86,90.3875673369533,78.9302680834155,101.50535283154
"86",87,90.6865933256735,79.2620311771801,101.741098118222
"87",88,90.9822017996972,79.5900026097131,101.974149114065
"88",89,91.2744699934886,79.9142680710405,102.204566708965
"89",90,91.5634725525376,80.2349103787755,102.432409751726
"90",91,91.8492816477956,80.5520096050825,102.657735140286
"91",92,92.1319670838573,80.8656431967026,102.880597906999
"92",93,92.4115964012952,81.1758860884912,103.101051299316
"93",94,92.6882349735205,81.4828108108837,103.319146856145
"94",95,92.9619460985192,81.7864875916746,103.534934480181
"95",96,93.2327910857852,82.0869844524678,103.748462506433
"96",97,93.5008293387482,82.384367300129,103.959777767213
"97",98,93.7661184329754,82.678700013548,104.16892565379
"98",99,94.0287141904018,82.9700445259969,104.375950174905
"99",100,94.2886707498316,83.2584609033492,104.580894012362
